date,song,artist,genre,year,key,key_clean,key_num
2022-04-12,君に届け,flumpool,J-POP,2010,0,0,0
2022-04-12,雪の華,中島美嘉,J-POP,2003,-7,-7,-7
2022-04-12,炎,LiSA,アニメソング,2020,-5,-5,-5
2022-04-12,home,クリス・ハート,J-POP,2013,0,0,0
2022-04-12,桜,コブクロ,J-POP,2005,0,0,0
2022-04-12,猫,DISH//,J-POP,2017,0,0,0
2022-04-12,そばにいるね,青山テルマ,J-POP,2008,0,0,0
2022-04-12,会いたくて 会いたくて,西野カナ,J-POP,2010,0,0,0
2022-04-12,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-04-12,truth,嵐,男性アイドル,2008,0,0,0
2022-04-12,高嶺の花子さん,back number,J-POP,2013,0,0,0
2022-04-12,マリーゴールド,あいみょん,J-POP,2018,0,0,0
2022-04-12,unravel,凛として時雨,アニメソング,2014,0,0,0
2022-04-12,さよならエレジー,菅田将暉,J-POP,2013,0,0,0
2022-04-12,残響散歌,Aimer,アニメソング,2022,0,0,0
2022-04-12,チョコレートメランコリー,≠ME,女性アイドル,2022,0,0,0
2022-04-12,ヒアルロンリーガール,ZOC,女性アイドル,2020,0,0,0
2022-04-12,初恋サイダー,Buono!（鈴木愛理）,女性アイドル,2012,0,0,0
2022-04-12,RIVER,AKB48,女性アイドル,2009,0,0,0
2022-04-12,さらば愛しき悲しみたちよ,ももいろクローバーZ,女性アイドル,2012,0,0,0
2022-04-12,ナギイチ,NMB48,女性アイドル,2012,0,0,0
2022-04-12,大声ダイヤモンド,AKB48,女性アイドル,2008,0,0,0
2022-04-12,私を創るのは私,アンジュルム,女性アイドル,2019,0,0,0
2022-04-12,インフルエンサー,乃木坂46,女性アイドル,2017,0,0,0
2022-04-12,Monster,嵐,男性アイドル,2010,0,0,0
2022-04-12,竈門炭治郎のうた,椎名豪 featuring 中川奈美,アニメソング,2019,0,0,0
2022-04-12,I WISH,モーニング娘。,女性アイドル,2000,0,0,0
2022-04-12,遥か,GReeeeN,J-POP,2009,0,0,0
2022-04-12,only my railgun,fripSide,アニメソング,2009,0,0,0
2022-04-12,天ノ弱,164 feat. GUMI,ボーカロイド,2011,0,0,0
2022-04-12,ロストワンの号哭,Neru feat. 鏡音リン,ボーカロイド,2013,0,0,0
2022-04-12,吉原ラメント,亜沙,ボーカロイド,2014,0,0,0
2022-04-12,真夜中のシャドーボーイ,Hey! Say! JUMP,男性アイドル,2008,0,0,0
2022-04-12,いのちの歌,竹内まりや,J-POP,2012,0,0,0
2022-04-12,ありがとうForever...,西内まりや,J-POP,2015,0,0,0
2022-04-12,トイレの神様,植村花菜,J-POP,2010,0,0,0
2022-04-12,旅立つ日～完全版,JULEPS,J-POP,2007,0,0,0
2022-04-12,千の風になって,秋川雅史,J-POP,2006,0,0,0
2022-04-12,I LOVE...,Official髭男dism,J-POP,2020,0,0,0
2022-04-12,HANABI,Mr.Children,J-POP,2008,0,0,0
2022-04-12,C.O.S.M.O.S. 〜秋桜〜,三代目 J Soul Brothers from EXILE TRIBE,男性アイドル,2014,0,0,0
2022-04-12,君の知らない物語,supercell,アニメソング,2009,0,0,0
2022-04-12,猛烈宇宙交響曲・第七楽章「無限の愛」,ももいろクローバーZ,女性アイドル,2012,0,0,0
2022-04-12,群青,YOASOBI,J-POP,2020,0,0,0
2022-04-12,あたしの残りぜんぶあげる,まねきケチャ,女性アイドル,2018,0,0,0
2022-04-12,制服のマネキン,乃木坂46,女性アイドル,2012,0,0,0
2022-04-12,愛の導火線,DISH//,J-POP,2016,0,0,0
2022-04-19,虹色の戦争,SEKAI NO OWARI,J-POP,2010,0,0,0
2022-04-19,猫,DISH//,J-POP,2017,0,0,0
2022-04-19,さよならの前に,AAA,J-POP,2014,0,0,0
2022-04-19,Real Face,KAT-TUN,男性アイドル,2006,0,0,0
2022-04-19,瞳を閉じて,平井堅,J-POP,2004,0,0,0
2022-04-19,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-04-19,Lemon,米津玄師,J-POP,2018,0,0,0
2022-04-19,RAIN,SEKAI NO OWARI,J-POP,2017,0,0,0
2022-04-19,マリーゴールド,あいみょん,J-POP,2018,0,0,0
2022-04-19,世界に一つだけの花,SMAP,J-POP,2003,0,0,0
2022-04-19,勇気100%,光GENJI,男性アイドル,1993,0,0,0
2022-04-19,I LOVE...,Official髭男dism,J-POP,2020,0,0,0
2022-04-19,月光花,Janne Da Arc,J-POP,2005,0,0,0
2022-04-19,さよならエレジー,菅田将暉,J-POP,2013,0,0,0
2022-04-19,home,クリス・ハート,J-POP,2013,0,0,0
2022-04-19,千の夜をこえて,Aqua Timez,J-POP,2006,0,0,0
2022-04-19,有心論,RADWIMPS,J-POP,2006,0,0,0
2022-04-19,Only Human,K,J-POP,2005,0,0,0
2022-04-19,残響散歌,Aimer,アニメソング,2022,0,0,0
2022-04-19,プロローグ,Uru,J-POP,2018,-7,-7,-7
2022-04-19,プロミスザスター,BiSH,J-POP,2017,0,0,0
2022-04-19,運命のヒト,EXILE,男性アイドル,2004,0,0,0
2022-04-19,C.O.S.M.O.S. 〜秋桜〜,三代目 J Soul Brothers from EXILE TRIBE,男性アイドル,2014,0,0,0
2022-04-19,道,EXILE,男性アイドル,2007,0,0,0
2022-04-19,Moon Crying,倖田來未,J-POP,2008,0,0,0
2022-04-19,炎,LiSA,アニメソング,2020,-5,-5,-5
2022-04-19,竈門炭治郎のうた,椎名豪 featuring 中川奈美,アニメソング,2019,0,0,0
2022-04-19,紅蓮の弓矢,Linked Horizon,アニメソング,2013,0,0,0
2022-04-19,unravel,凛として時雨,アニメソング,2014,0,0,0
2022-04-19,only my railgun,fripSide,アニメソング,2009,0,0,0
2022-04-19,Prisoner Of Love,宇多田ヒカル,J-POP,2008,0,0,0
2022-04-19,雪の華,中島美嘉,J-POP,2003,-7,-7,-7
2022-04-19,僕のこと,Mrs. GREEN APPLE,J-POP,2019,0,0,0
2022-04-19,三回目のデート神話,つばきファクトリー,女性アイドル,2019,0,0,0
2022-04-19,「ひとりで生きられそう」って それってねえ、褒めているの？,Juice=Juice,女性アイドル,2019,0,0,0
2022-04-19,てもでもの涙,AKB48,女性アイドル,2013,0,0,0
2022-04-19,ふいに,板野友美,女性アイドル,2011,0,0,0
2022-04-19,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-04-19,truth,嵐,男性アイドル,2008,0,0,0
2022-04-19,真夜中のシャドーボーイ,Hey! Say! JUMP,男性アイドル,2008,0,0,0
2022-04-19,magnet,Minato,ボーカロイド,2009,0,0,0
2022-04-19,甲賀忍法帖,陰陽座,アニメソング,2005,0,0,0
2022-04-19,YUME日和,島谷ひとみ,J-POP,2003,0,0,0
2022-04-19,竈門炭治郎のうた,椎名豪 featuring 中川奈美,アニメソング,2019,0,0,0
2022-05-08,猫,DISH//,J-POP,2017,0,0,0
2022-05-08,さよならの前に,AAA,J-POP,2014,0,0,0
2022-05-08,眠り姫,SEKAI NO OWARI,J-POP,2012,0,0,0
2022-05-08,炎,LiSA,アニメソング,2020,-5,-5,-5
2022-05-08,明け星,LiSA,アニメソング,2021,0,0,0
2022-05-08,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-05-08,truth,嵐,男性アイドル,2008,0,0,0
2022-05-08,Monster,嵐,男性アイドル,2010,0,0,0
2022-05-08,君に届け,flumpool,J-POP,2010,0,0,0
2022-05-08,心做し,蝶々P,ボーカロイド,2019,0,0,0
2022-05-08,残響散歌,Aimer,アニメソング,2022,0,0,0
2022-05-08,紅蓮の弓矢,Linked Horizon,アニメソング,2013,0,0,0
2022-05-08,unravel,凛として時雨,アニメソング,2014,0,0,0
2022-05-08,only my railgun,fripSide,アニメソング,2009,0,0,0
2022-05-08,君の知らない物語,supercell,アニメソング,2009,0,0,0
2022-05-08,We Will 〜あの場所で〜,EXILE,男性アイドル,2003,0,0,0
2022-05-08,旅立つ日～完全版,JULEPS,J-POP,2007,0,0,0
2022-05-08,さよならエレジー,菅田将暉,J-POP,2013,0,0,0
2022-05-08,もっと…,西野カナ,J-POP,2010,0,0,0
2022-05-08,君に会いたくなるから,西野カナ,J-POP,2009,0,0,0
2022-05-08,好きだよ。～100回の後悔～,Sonar Pocket,J-POP,2011,0,0,0
2022-05-08,遥か,GReeeeN,J-POP,2009,0,0,0
2022-05-08,i hate u,ISSA×SoulJa＋ROLA,J-POP,2011,0,0,0
2022-05-08,千の夜をこえて,Aqua Timez,J-POP,2006,0,0,0
2022-05-08,LIP,KAT-TUN,男性アイドル,2008,0,0,0
2022-05-08,そばにいるね,青山テルマ,J-POP,2008,0,0,0
2022-05-08,絆,亀梨和也,J-POP,2005,0,0,0
2022-05-08,イエス,Acid Black Cherry,J-POP,2012,0,0,0
2022-05-08,愛してない,Acid Black Cherry,J-POP,2007,0,0,0
2022-05-08,ヴァンパイア,Janne Da Arc,J-POP,2003,0,0,0
2022-05-08,Moon Crying,倖田來未,J-POP,2008,0,0,0
2022-05-08,花,ORANGE RANGE,J-POP,2004,0,0,0
2022-05-08,イケナイ太陽,ORANGE RANGE,J-POP,2007,0,0,0
2022-05-08,お手を拝借!もういっちょ!,下田美咲,J-POP,2013,0,0,0
2022-05-08,点描の唄,Mrs. GREEN APPLE,J-POP,2018,0,0,0
2022-05-08,吉原ラメント,亜沙,ボーカロイド,2014,0,0,0
2022-05-08,東京,JUJU,J-POP,2018,-4,-4,-4
2022-05-08,It's all too much,YUI,J-POP,2009,0,0,0
2022-05-08,Rolling star,YUI,J-POP,2007,0,0,0
2022-05-08,愛のかたまり,KinKi Kids,男性アイドル,2001,1,1,1
2022-05-08,home,クリス・ハート,J-POP,2013,0,0,0
2022-05-08,青いベンチ,サスケ,J-POP,2005,0,0,0
2022-05-08,愛の導火線,DISH//,J-POP,2016,0,0,0
2022-05-08,インフルエンサー,乃木坂46,女性アイドル,2017,0,0,0
2022-05-08,私が言う前に抱きしめなきゃね,Juice=Juice,女性アイドル,2013,0,0,0
2022-05-08,サイレントマジョリティー,欅坂46,女性アイドル,2016,0,0,0
2022-05-08,私を創るのは私,アンジュルム,女性アイドル,2019,0,0,0
2022-05-08,行くぜっ!怪盗少女,ももいろクローバーZ,女性アイドル,2010,0,0,0
2022-05-08,プロミスザスター,BiSH,J-POP,2017,0,0,0
2022-05-08,あたしの残りぜんぶあげる,まねきケチャ,女性アイドル,2018,0,0,0
2022-05-08,Everyday、カチューシャ,AKB48,女性アイドル,2011,0,0,0
2022-05-08,UZA,AKB48,女性アイドル,2012,0,0,0
2022-05-08,ふいに,板野友美,女性アイドル,2011,0,0,0
2022-05-08,Answer,ノースリーブス,女性アイドル,2011,0,0,0
2022-05-08,制服のマネキン,乃木坂46,女性アイドル,2012,0,0,0
2022-05-08,ナギイチ,NMB48,女性アイドル,2012,0,0,0
2022-05-08,マジジョテッペンブルース,AKB48,女性アイドル,2010,0,0,0
2022-05-08,パレオはエメラルド,SKE48,女性アイドル,2011,0,0,0
2022-05-08,真夜中のシャドーボーイ,Hey! Say! JUMP,男性アイドル,2008,0,0,0
2022-05-08,Luv Sick,Kis-My-Ft2,男性アイドル,2013,0,0,0
2022-05-08,さよならの前に,AAA,J-POP,2014,0,0,0
2022-05-08,白日,King Gnu,J-POP,2019,0,0,0
2022-05-08,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-05-08,竈門炭治郎のうた,椎名豪 featuring 中川奈美,アニメソング,2019,0,0,0
2022-05-08,残響散歌,Aimer,アニメソング,2022,0,0,0
2022-05-08,シンデレラガール,King & Prince,男性アイドル,2018,0,0,0
2022-05-08,明日の記憶,嵐,男性アイドル,2009,0,0,0
2022-05-08,LIFE,中島美嘉,J-POP,2007,0,0,0
2022-05-08,I LOVE...,Official髭男dism,J-POP,2020,0,0,0
2022-05-08,イエス,Acid Black Cherry,J-POP,2012,0,0,0
2022-05-08,RAIN,SEKAI NO OWARI,J-POP,2017,0,0,0
2022-05-08,RPG,SEKAI NO OWARI,J-POP,2013,0,0,0
2022-05-08,世界に一つだけの花,SMAP,J-POP,2003,0,0,0
2022-05-08,you,癒月,アニメソング,2006,0,0,0
2022-05-08,恋のつぼみ,倖田來未,J-POP,2006,0,0,0
2022-05-08,Mirrorcle World,浜崎あゆみ,J-POP,2008,0,0,0
2022-05-08,SEASONS,浜崎あゆみ,J-POP,2000,0,0,0
2022-05-08,Destiny-太陽の花-,島谷ひとみ,アニメソング,2006,0,0,0
2022-05-08,ロストワンの号哭,Neru feat. 鏡音リン,ボーカロイド,2013,0,0,0
2022-05-08,天ノ弱,164 feat. GUMI,ボーカロイド,2011,0,0,0
2022-05-08,東京テディベア,Neru,ボーカロイド,2015,0,0,0
2022-05-08,再教育,Neru,ボーカロイド,2012,0,0,0
2022-05-08,トイレの神様,植村花菜,J-POP,2010,0,0,0
2022-05-08,Only Human,K,J-POP,2005,0,0,0
2022-05-08,ありがとうForever...,西内まりや,J-POP,2015,0,0,0
2022-05-08,HANABI,Mr.Children,J-POP,2008,0,0,0
2022-05-08,ラピスラズリ,藍井エイル,アニメソング,2015,0,0,0
2022-05-08,紅蓮の弓矢,Linked Horizon,アニメソング,2013,0,0,0
2022-05-08,ひぐらしのなく頃に,島みやえい子,アニメソング,2006,0,0,0
2022-05-08,チョコレートメランコリー,≠ME,女性アイドル,2022,0,0,0
2022-05-08,スカート、ひらり,AKB48,女性アイドル,2006,0,0,0
2022-05-08,軽蔑していた愛情,AKB48,女性アイドル,2007,0,0,0
2022-05-08,CRY FOR ME -Japanese ver.-,TWICE,K-POP,2022,0,0,0
2022-06-29,One Love,嵐,男性アイドル,2008,0,0,0
2022-06-29,シンデレラガール,King & Prince,男性アイドル,2018,0,0,0
2022-06-29,アイノカタチ,MISIA,J-POP,2018,0,0,0
2022-06-29,I LOVE...,Official髭男dism,J-POP,2020,0,0,0
2022-06-29,さよならエレジー,菅田将暉,J-POP,2013,0,0,0
2022-06-29,炎,LiSA,アニメソング,2020,-5,-5,-5
2022-06-29,竈門炭治郎のうた,椎名豪 featuring 中川奈美,アニメソング,2019,0,0,0
2022-06-29,ドライフラワー,優里,J-POP,2020,0,0,0
2022-06-29,truth,嵐,男性アイドル,2008,0,0,0
2022-06-29,Monster,嵐,男性アイドル,2010,0,0,0
2022-06-29,君に届け,flumpool,J-POP,2010,0,0,0
2022-06-29,サイレントマジョリティー,欅坂46,女性アイドル,2016,0,0,0
2022-06-29,桃太郎,水曜日のカンパネラ,J-POP,2015,0,0,0
2022-06-29,吉原ラメント,亜沙,ボーカロイド,2014,0,0,0
2022-06-29,インフルエンサー,乃木坂46,女性アイドル,2017,0,0,0
2022-06-29,会いたくて 会いたくて,西野カナ,J-POP,2010,0,0,0
2022-06-29,ポニーテールとシュシュ,AKB48,女性アイドル,2010,0,0,0
2022-06-29,only my railgun,fripSide,アニメソング,2009,0,0,0
2022-06-29,Imitation Rain,SixSTONES,男性アイドル,2020,0,0,0
2022-06-29,雪の華,中島美嘉,J-POP,2003,-7,-7,-7
